Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3;cluster
1.394;0.212;236.190;6.000;0.000;1.000;0.0;6
2.604;0.162;238.140;11.000;0.000;1.000;17.0;1
0.25;0.000;242.630;1.000;0.000;1.000;0.0;0
4.028;0.000;235.270;17.200;0.000;0.000;0.0;6
1.746;0.244;242.820;7.200;2.000;0.000;18.0;8
0.224;0.000;245.070;1.000;0.000;0.000;0.0;0
2.82;0.194;238.540;11.800;0.000;0.000;17.0;1
0.616;0.320;241.820;2.800;0.000;0.000;0.0;0
1.274;0.328;239.730;5.400;0.000;0.000;0.0;0
1.448;0.000;241.010;6.000;0.000;1.000;17.0;8
1.352;0.000;240.980;5.600;0.000;0.000;18.0;8
0.212;0.000;238.920;0.800;0.000;0.000;0.0;0
2.966;0.274;239.930;13.000;1.000;17.000;18.0;7
1.272;0.000;233.070;5.400;0.000;0.000;17.0;8
0.242;0.000;249.090;1.000;0.000;0.000;0.0;0
0.396;0.258;241.090;2.000;0.000;2.000;0.0;0
0.22;0.000;242.740;1.000;0.000;0.000;0.0;0
0.59;0.116;239.230;2.400;0.000;2.000;0.0;0
1.258;0.046;233.900;5.400;0.000;0.000;16.0;8
1.582;0.248;243.050;7.800;0.000;2.000;0.0;6
2.012;0.312;240.520;8.600;0.000;5.000;17.0;1
0.37;0.208;239.450;1.800;0.000;1.000;0.0;0
3.498;0.256;237.110;15.000;0.000;36.000;18.0;2
0.298;0.108;244.230;1.200;0.000;0.000;0.0;0
2.638;0.000;241.360;10.800;0.000;0.000;18.0;8
3.396;0.060;239.200;14.200;0.000;0.000;17.0;1
1.476;0.216;242.280;6.000;0.000;0.000;18.0;8
3.646;0.000;239.960;15.400;0.000;0.000;18.0;1
2.364;0.082;239.720;9.800;0.000;0.000;0.0;6
0.29;0.086;240.440;1.200;0.000;0.000;0.0;0
1.044;0.126;235.850;4.600;0.000;1.000;0.0;6
0.324;0.110;244.310;1.400;0.000;0.000;0.0;0
1.446;0.244;240.310;6.000;0.000;1.000;18.0;8
1.24;0.000;236.310;5.200;0.000;0.000;17.0;8
1.862;0.100;239.220;7.800;1.000;1.000;17.0;8
0.328;0.092;243.940;1.400;0.000;2.000;0.0;0
0.318;0.114;244.180;1.400;0.000;0.000;0.0;0
0.326;0.148;242.480;1.400;0.000;0.000;0.0;0
1.524;0.090;243.090;6.200;0.000;4.000;18.0;8
0.302;0.000;244.280;1.400;0.000;0.000;0.0;0
1.292;0.000;238.870;5.400;0.000;0.000;17.0;8
0.214;0.000;239.930;0.800;0.000;0.000;0.0;0
3.038;0.366;237.130;12.800;0.000;1.000;17.0;1
2.556;0.078;235.810;10.800;0.000;0.000;17.0;1
0.216;0.000;240.040;0.800;0.000;0.000;0.0;0
1.292;0.158;235.130;5.400;0.000;1.000;17.0;8
1.408;0.000;244.090;5.800;0.000;0.000;18.0;8
0.394;0.270;244.590;2.000;0.000;2.000;0.0;0
1.42;0.134;246.320;5.800;0.000;0.000;19.0;8
3.264;0.196;237.700;13.600;1.000;2.000;17.0;1
0.23;0.138;241.530;1.000;0.000;0.000;0.0;0
0.254;0.000;244.070;1.200;0.000;0.000;0.0;0
1.414;0.096;237.760;5.800;0.000;1.000;17.0;8
0.318;0.184;238.080;1.600;0.000;2.000;0.0;0
6.828;0.000;230.900;29.400;0.000;70.000;16.0;4
0.278;0.000;237.840;1.200;0.000;0.000;0.0;0
3.314;0.000;233.080;14.200;0.000;0.000;17.0;1
0.588;0.212;239.170;2.600;0.000;0.000;0.0;0
2.42;0.500;241.380;10.600;0.000;0.000;18.0;8
1.282;0.000;240.900;5.200;0.000;0.000;18.0;8
0.296;0.082;243.390;1.200;0.000;0.000;0.0;0
1.616;0.000;237.480;6.800;0.000;0.000;0.0;6
2.97;0.138;243.390;12.200;0.000;38.000;0.0;3
4.456;0.198;236.310;18.800;0.000;37.000;17.0;2
1.358;0.116;241.420;5.600;0.000;0.000;0.0;0
0.212;0.000;237.610;0.800;0.000;0.000;0.0;0
0.314;0.120;240.410;1.400;0.000;0.000;0.0;0
2.34;0.064;240.170;9.600;0.000;2.000;0.0;6
1.386;0.000;236.980;5.800;0.000;0.000;17.0;8
5.52;0.000;235.530;23.400;38.000;0.000;17.0;5
1.634;0.082;240.920;6.800;0.000;0.000;17.0;8
0.204;0.000;245.070;0.800;0.000;0.000;0.0;0
4.7;0.228;230.250;20.400;0.000;16.000;16.0;7
1.414;0.118;241.220;5.800;0.000;2.000;18.0;8
0.262;0.000;242.710;1.200;0.000;0.000;0.0;0
1.572;0.076;237.780;6.600;0.000;0.000;17.0;8
0.23;0.000;247.680;1.000;0.000;0.000;0.0;0
1.304;0.000;240.670;5.400;0.000;0.000;18.0;8
1.272;0.000;239.010;5.200;0.000;0.000;17.0;8
1.376;0.096;239.950;5.600;0.000;0.000;18.0;8
0.288;0.104;239.670;1.200;0.000;2.000;0.0;0
0.298;0.122;240.740;1.400;0.000;0.000;0.0;0
0.302;0.118;242.720;1.200;0.000;2.000;0.0;0
0.22;0.000;243.850;1.000;0.000;0.000;0.0;0
1.45;0.152;244.680;5.800;0.000;1.000;18.0;8
3.388;0.066;238.040;14.200;0.000;0.000;17.0;1
0.224;0.000;241.230;1.000;0.000;0.000;0.0;0
1.612;0.370;243.940;6.800;0.000;2.000;18.0;8
3.328;0.146;237.740;14.000;0.000;0.000;0.0;6
0.598;0.150;240.880;2.600;0.000;0.000;0.0;0
3.322;0.296;234.270;14.200;0.000;0.000;17.0;1
1.338;0.000;238.690;5.600;0.000;0.000;18.0;8
0.214;0.000;240.520;0.800;0.000;0.000;0.0;0
4.054;0.414;238.640;17.000;0.000;38.000;17.0;2
0.596;0.150;241.190;2.400;0.000;0.000;0.0;0
1.396;0.108;243.970;5.600;0.000;1.000;19.0;8
0.282;0.100;242.890;1.200;0.000;0.000;0.0;0
0.68;0.208;234.890;3.000;0.000;1.000;0.0;6
2.806;0.220;238.020;11.800;1.000;0.000;17.0;1
3.348;0.054;237.090;14.000;0.000;0.000;18.0;1
2.782;0.138;240.710;11.400;0.000;38.000;0.0;3
4.024;0.120;237.000;17.200;0.000;0.000;17.0;1
1.72;0.254;239.790;7.200;0.000;17.000;0.0;7
0.212;0.000;237.970;0.800;0.000;0.000;0.0;0
1.422;0.116;247.540;5.600;0.000;0.000;19.0;8
1.776;0.110;239.100;7.400;0.000;0.000;0.0;6
3.478;0.148;236.710;14.600;0.000;0.000;17.0;1
2.332;0.000;242.460;9.600;0.000;0.000;0.0;6
4.196;0.048;237.400;17.600;0.000;0.000;17.0;1
2.452;0.100;242.540;10.000;0.000;1.000;0.0;6
2.978;0.352;241.270;12.400;39.000;2.000;0.0;7
0.404;0.116;242.760;1.800;0.000;0.000;0.0;0
0.22;0.000;248.040;1.000;0.000;0.000;0.0;0
0.766;0.332;242.810;3.400;0.000;1.000;0.0;0
0.42;0.122;244.110;1.800;0.000;0.000;0.0;0
0.272;0.118;240.720;1.200;0.000;1.000;0.0;0
1.476;0.254;237.690;6.200;0.000;0.000;0.0;6
0.216;0.000;244.370;1.000;0.000;0.000;0.0;0
1.29;0.000;239.110;5.400;0.000;0.000;18.0;8
1.22;0.242;246.810;6.600;0.000;0.000;0.0;0
0.408;0.200;240.680;1.800;0.000;1.000;0.0;0
0.448;0.142;241.670;2.000;0.000;1.000;0.0;0
0.232;0.000;247.170;1.000;0.000;0.000;0.0;0
0.278;0.214;238.210;1.400;0.000;2.000;0.0;0
1.35;0.080;240.280;5.600;0.000;0.000;18.0;8
0.36;0.284;231.730;2.000;0.000;1.000;0.0;6
1.298;0.000;239.000;5.400;0.000;0.000;18.0;8
0.508;0.000;238.220;2.600;0.000;0.000;0.0;0
1.526;0.078;233.380;6.400;0.000;0.000;0.0;6
2.554;0.308;238.860;10.800;0.000;0.000;17.0;8
0.318;0.130;243.650;1.400;0.000;1.000;0.0;0
3.638;0.218;238.430;15.200;0.000;2.000;17.0;1
3.334;0.330;241.760;13.800;40.000;2.000;0.0;7
0.238;0.066;247.980;1.000;0.000;0.000;0.0;0
0.224;0.000;240.320;1.000;0.000;0.000;0.0;0
3.826;0.236;237.530;16.000;0.000;3.000;17.0;1
0.31;0.118;242.480;1.400;0.000;0.000;0.0;0
1.366;0.082;241.330;5.600;0.000;0.000;18.0;8
0.586;0.000;245.160;2.400;0.000;0.000;0.0;0
1.306;0.000;239.900;5.400;0.000;0.000;18.0;8
1.828;0.070;238.400;7.600;0.000;0.000;18.0;8
3.602;0.148;235.520;15.400;0.000;31.000;17.0;2
0.412;0.270;243.990;2.000;0.000;2.000;0.0;0
1.8;0.366;233.550;7.800;0.000;5.000;17.0;1
1.398;0.128;241.110;5.800;0.000;0.000;18.0;8
1.17;0.354;236.600;5.000;0.000;1.000;0.0;6
1.668;0.106;240.520;6.800;0.000;0.000;17.0;8
0.48;0.382;238.300;2.600;0.000;1.000;0.0;0
0.258;0.180;238.830;1.400;0.000;0.000;0.0;0
4.524;0.000;239.220;18.800;0.000;0.000;0.0;6
0.292;0.110;245.310;1.200;0.000;1.000;0.0;0
0.218;0.000;238.250;0.800;0.000;0.000;0.0;0
0.224;0.000;243.940;1.000;0.000;0.000;0.0;0
2.322;0.000;241.440;9.800;0.000;0.000;18.0;8
0.402;0.176;235.450;2.000;0.000;1.000;0.0;0
1.812;0.228;242.270;7.600;0.000;2.000;18.0;8
0.93;0.060;238.680;3.800;0.000;0.000;0.0;0
0.356;0.000;240.200;1.600;0.000;0.000;0.0;0
3.4;0.316;238.460;14.200;0.000;0.000;17.0;1
0.406;0.096;240.920;1.600;1.000;0.000;0.0;0
0.352;0.208;244.750;1.600;0.000;0.000;0.0;0
3.512;0.000;237.220;14.800;0.000;36.000;17.0;2
0.568;0.000;239.900;2.400;0.000;0.000;0.0;0
1.458;0.122;234.170;6.200;0.000;0.000;0.0;6
5.128;0.170;231.650;22.200;0.000;27.000;17.0;2
1.282;0.000;238.950;5.200;0.000;0.000;17.0;8
0.488;0.172;244.640;2.000;0.000;0.000;0.0;0
3.486;0.078;242.070;14.400;0.000;0.000;18.0;1
3.61;0.110;232.550;15.600;0.000;30.000;0.0;3
1.288;0.000;238.660;5.400;0.000;0.000;18.0;8
3.142;0.070;237.210;13.600;0.000;1.000;17.0;1
1.9;0.332;240.930;8.000;0.000;1.000;18.0;8
0.4;0.244;242.150;2.000;0.000;2.000;0.0;0
0.22;0.000;244.130;1.000;0.000;0.000;0.0;0
1.81;0.182;240.280;8.600;0.000;0.000;0.0;6
1.904;0.200;243.600;8.000;0.000;5.000;18.0;1
2.308;0.048;242.650;9.400;0.000;0.000;0.0;6
1.236;0.000;237.380;5.200;0.000;0.000;17.0;8
0.25;0.056;245.210;1.200;0.000;0.000;0.0;0
1.752;0.176;236.030;7.400;0.000;0.000;17.0;8
1.244;0.000;233.120;5.200;0.000;0.000;0.0;6
0.238;0.000;242.690;1.000;0.000;0.000;0.0;0
0.914;0.082;238.830;4.000;0.000;0.000;0.0;0
1.894;0.484;243.520;8.000;0.000;2.000;0.0;6
1.502;0.000;240.440;6.400;0.000;0.000;18.0;8
0.212;0.000;238.460;0.800;0.000;0.000;0.0;0
4.608;0.000;233.500;20.000;32.000;0.000;17.0;5
0.266;0.000;241.810;1.200;0.000;0.000;0.0;0
2.466;0.104;235.950;10.400;0.000;0.000;0.0;6
0.264;0.050;246.350;1.200;0.000;1.000;0.0;0
0.312;0.090;241.110;1.400;0.000;0.000;0.0;0
0.68;0.048;238.540;2.800;0.000;0.000;0.0;0
1.392;0.352;234.290;7.600;0.000;0.000;0.0;6
3.7;0.066;239.450;15.400;38.000;1.000;18.0;5
0.322;0.120;241.200;1.400;0.000;0.000;0.0;0
2.458;0.190;241.310;10.600;37.000;1.000;0.0;7
3.484;0.222;238.430;14.600;0.000;1.000;17.0;1
3.82;0.554;234.120;16.600;0.000;21.000;16.0;7
1.882;0.000;243.620;7.800;0.000;0.000;18.0;8
0.222;0.000;244.910;1.000;0.000;0.000;0.0;0
0.388;0.226;241.490;1.800;0.000;0.000;0.0;0
0.224;0.000;244.210;1.000;0.000;0.000;0.0;0
1.588;0.128;242.010;6.600;0.000;2.000;0.0;6
2.298;0.000;240.070;9.400;0.000;0.000;0.0;6
1.468;0.090;239.600;6.000;0.000;0.000;18.0;8
3.376;0.234;236.810;14.200;0.000;1.000;17.0;1
1.378;0.094;238.760;5.800;0.000;0.000;18.0;8
3.532;0.156;238.750;14.800;0.000;0.000;18.0;1
0.31;0.096;241.700;1.400;0.000;0.000;0.0;0
3.792;0.362;236.770;16.400;1.000;32.000;17.0;2
2.362;0.070;240.100;9.800;0.000;1.000;0.0;6
1.578;0.064;234.660;6.600;0.000;0.000;0.0;6
3.002;0.862;235.090;13.400;0.000;1.000;17.0;1
1.84;0.110;243.630;7.600;2.000;0.000;18.0;8
0.362;0.208;240.580;1.600;0.000;1.000;0.0;0
0.442;0.168;245.910;1.800;0.000;0.000;0.0;0
0.354;0.224;239.110;1.800;0.000;0.000;0.0;0
2.892;0.282;234.560;12.400;0.000;0.000;17.0;1
0.386;0.000;246.200;1.600;0.000;0.000;0.0;0
3.184;0.088;238.560;13.200;0.000;0.000;18.0;1
0.298;0.076;242.090;1.200;0.000;0.000;0.0;0
0.202;0.118;243.480;1.000;0.000;0.000;0.0;0
0.252;0.000;243.550;1.000;0.000;0.000;0.0;0
0.384;0.232;242.260;1.800;0.000;0.000;0.0;0
4.034;0.330;238.120;17.000;0.000;2.000;0.0;6
0.182;0.000;240.270;0.800;0.000;0.000;0.0;0
2.584;0.336;240.450;11.400;0.000;0.000;0.0;6
1.458;0.092;236.750;6.000;0.000;0.000;17.0;8
0.25;0.048;240.240;1.000;0.000;0.000;0.0;0
2.904;0.242;235.330;13.000;8.000;5.000;17.0;1
8.106;0.286;231.660;35.000;1.000;70.000;17.0;4
2.284;0.000;239.330;9.400;0.000;0.000;0.0;6
0.398;0.110;242.520;1.800;0.000;0.000;0.0;0
0.206;0.000;241.240;0.800;0.000;0.000;0.0;0
0.334;0.182;243.170;1.600;0.000;0.000;0.0;0
1.868;0.000;240.120;7.800;0.000;0.000;18.0;8
2.118;0.000;241.260;8.600;2.000;0.000;17.0;8
1.636;0.138;242.210;6.800;0.000;0.000;0.0;6
1.254;0.162;236.760;5.400;0.000;0.000;0.0;6
0.304;0.096;243.180;1.200;0.000;0.000;0.0;0
0.518;0.108;239.540;2.400;0.000;0.000;0.0;0
6.146;0.182;232.770;26.600;36.000;0.000;16.0;5
0.318;0.132;243.670;1.400;0.000;2.000;0.0;0
2.188;0.282;241.960;9.000;0.000;0.000;18.0;8
1.0;0.310;240.390;4.400;0.000;1.000;0.0;0
0.358;0.182;241.030;1.600;0.000;1.000;0.0;0
0.294;0.100;243.300;1.200;0.000;0.000;0.0;0
1.654;0.000;239.550;6.800;1.000;0.000;17.0;8
2.55;0.164;243.030;10.400;0.000;0.000;0.0;6
1.444;0.196;237.270;6.000;0.000;0.000;18.0;8
0.396;0.252;242.450;1.800;0.000;0.000;0.0;0
0.202;0.000;244.960;0.800;0.000;0.000;0.0;0
1.366;0.000;239.680;5.600;0.000;0.000;18.0;8
2.706;0.074;241.100;11.200;0.000;0.000;18.0;1
0.212;0.000;236.930;0.800;0.000;0.000;0.0;0
4.544;0.472;241.570;18.800;40.000;0.000;0.0;7
0.38;0.214;239.300;1.800;0.000;0.000;0.0;0
0.422;0.294;241.640;2.000;0.000;0.000;0.0;0
0.29;0.102;243.370;1.200;0.000;2.000;0.0;0
1.632;0.074;234.190;7.000;0.000;0.000;17.0;8
3.718;0.132;238.640;15.600;0.000;36.000;18.0;2
1.298;0.150;240.980;5.400;0.000;0.000;0.0;0
2.716;0.000;238.790;11.200;0.000;0.000;18.0;1
4.972;0.324;234.660;21.200;38.000;0.000;17.0;5
0.38;0.108;243.260;1.600;1.000;0.000;0.0;0
0.3;0.102;240.030;1.400;0.000;2.000;0.0;0
3.666;0.174;237.780;15.400;0.000;36.000;18.0;2
0.22;0.136;239.850;1.000;0.000;0.000;0.0;0
0.296;0.092;244.410;1.200;0.000;0.000;0.0;0
0.462;0.332;238.850;2.400;0.000;1.000;0.0;0
0.738;0.000;244.400;3.000;0.000;0.000;0.0;0
0.31;0.262;241.540;1.600;0.000;1.000;0.0;0
5.992;0.000;235.360;25.600;0.000;0.000;17.0;5
1.502;0.186;242.490;6.200;0.000;0.000;18.0;8
1.132;0.000;234.340;4.800;0.000;0.000;17.0;8
0.312;0.146;243.520;1.400;0.000;0.000;0.0;0
3.134;0.524;233.530;13.600;0.000;1.000;0.0;6
3.47;0.050;240.050;14.600;0.000;24.000;17.0;7
0.24;0.000;242.420;1.000;0.000;0.000;0.0;0
0.264;0.000;239.500;1.000;0.000;0.000;0.0;0
0.508;0.138;244.850;2.400;0.000;1.000;0.0;0
5.714;0.242;231.990;24.600;37.000;36.000;16.0;2
1.762;0.222;237.490;7.400;0.000;0.000;17.0;8
2.676;0.120;234.710;11.400;0.000;0.000;17.0;1
1.434;0.198;236.620;6.000;0.000;0.000;17.0;8
1.226;0.284;237.040;5.200;0.000;1.000;0.0;6
0.316;0.172;244.550;1.400;0.000;0.000;0.0;0
0.726;0.186;243.320;3.000;0.000;1.000;0.0;0
0.43;0.000;245.150;2.000;0.000;0.000;0.0;0
2.904;0.344;239.220;12.200;39.000;0.000;0.0;7
0.22;0.000;242.860;0.800;0.000;0.000;0.0;0
0.302;0.102;241.320;1.200;0.000;1.000;0.0;0
1.428;0.000;240.030;6.000;1.000;0.000;0.0;6
1.85;0.296;235.710;7.800;0.000;2.000;17.0;8
0.16;0.000;239.230;0.600;0.000;0.000;0.0;0
1.296;0.000;241.830;5.200;0.000;0.000;18.0;8
0.338;0.120;240.770;1.400;0.000;1.000;0.0;0
1.304;0.000;237.750;5.400;0.000;0.000;18.0;8
2.364;0.068;240.540;9.800;0.000;0.000;0.0;6
0.23;0.000;242.500;1.000;0.000;0.000;0.0;0
0.472;0.188;241.600;2.200;0.000;0.000;0.0;0
1.348;0.000;245.540;5.400;0.000;0.000;19.0;8
0.224;0.132;239.990;1.000;0.000;0.000;0.0;0
0.258;0.048;242.560;1.200;0.000;0.000;0.0;0
1.626;0.270;241.760;6.800;0.000;18.000;0.0;7
2.448;0.108;240.030;10.200;0.000;1.000;0.0;6
0.296;0.072;239.230;1.200;0.000;0.000;0.0;0
0.226;0.000;241.230;1.000;0.000;0.000;0.0;0
1.672;0.076;240.170;7.000;0.000;0.000;18.0;8
1.336;0.120;239.110;5.600;0.000;1.000;17.0;8
0.3;0.134;242.750;1.400;0.000;0.000;0.0;0
1.314;0.000;241.600;5.400;0.000;0.000;18.0;8
0.95;0.000;236.350;4.200;0.000;1.000;0.0;6
0.338;0.144;245.540;1.400;0.000;0.000;0.0;0
0.412;0.266;244.250;2.000;0.000;1.000;0.0;0
0.224;0.000;242.590;1.000;0.000;0.000;0.0;0
0.324;0.132;243.310;1.400;0.000;0.000;0.0;0
0.316;0.000;244.950;1.400;0.000;0.000;0.0;0
2.092;0.190;237.850;8.800;0.000;0.000;18.0;8
2.282;0.252;241.150;9.400;0.000;0.000;18.0;8
0.288;0.088;240.630;1.200;0.000;0.000;0.0;0
0.346;0.184;240.920;1.600;0.000;0.000;0.0;0
1.288;0.000;241.460;5.200;0.000;0.000;0.0;0
0.308;0.132;245.750;1.400;0.000;1.000;0.0;0
1.428;0.200;238.380;6.000;0.000;0.000;17.0;8
0.214;0.000;244.830;0.800;0.000;0.000;0.0;0
0.216;0.000;244.530;1.000;0.000;0.000;0.0;0
0.124;0.000;240.850;0.600;0.000;0.000;0.0;0
0.21;0.000;241.500;1.000;0.000;0.000;0.0;0
0.292;0.078;242.700;1.200;0.000;0.000;0.0;0
2.876;0.132;237.070;12.000;0.000;0.000;18.0;1
1.888;0.518;238.730;8.200;0.000;1.000;18.0;8
0.418;0.232;240.130;2.000;0.000;0.000;0.0;0
2.79;0.000;238.550;11.600;0.000;0.000;17.0;1
1.372;0.100;239.630;5.600;0.000;0.000;17.0;8
0.248;0.000;244.010;1.000;0.000;0.000;0.0;0
0.626;0.442;241.780;3.200;0.000;0.000;0.0;0
1.42;0.082;239.810;5.800;0.000;0.000;18.0;8
1.224;0.112;240.300;6.200;0.000;0.000;0.0;6
0.294;0.000;240.950;1.400;0.000;0.000;0.0;0
1.274;0.188;232.400;5.400;0.000;1.000;17.0;8
0.33;0.184;232.400;1.600;0.000;1.000;0.0;0
0.318;0.110;238.980;1.400;0.000;0.000;0.0;0
1.234;0.076;235.570;5.200;0.000;0.000;17.0;8
2.426;0.144;244.220;9.800;0.000;0.000;19.0;8
3.312;0.238;239.580;14.000;0.000;27.000;18.0;2
1.532;0.070;237.140;6.400;0.000;0.000;18.0;8
2.356;0.000;236.330;9.800;0.000;1.000;0.0;6
3.152;0.388;241.030;13.200;0.000;21.000;17.0;7
0.216;0.000;239.680;0.800;0.000;0.000;0.0;0
1.296;0.142;240.490;5.400;0.000;1.000;0.0;6
2.1;0.190;241.280;8.600;0.000;0.000;18.0;8
0.214;0.000;239.900;0.800;0.000;0.000;0.0;0
0.266;0.000;242.330;1.200;0.000;0.000;0.0;0
0.428;0.204;238.880;2.000;0.000;0.000;0.0;0
0.92;0.058;240.750;3.800;0.000;0.000;0.0;0
3.05;0.392;238.280;13.000;0.000;0.000;18.0;1
1.376;0.000;243.110;7.200;0.000;0.000;0.0;6
0.318;0.070;242.100;1.400;0.000;2.000;0.0;0
0.244;0.000;244.980;1.000;0.000;0.000;0.0;0
4.516;0.630;236.020;19.200;38.000;0.000;0.0;7
0.666;0.148;239.840;3.000;0.000;2.000;0.0;0
1.066;0.096;239.950;4.400;0.000;1.000;0.0;0
0.218;0.000;242.080;0.800;0.000;0.000;0.0;0
0.482;0.132;242.100;2.000;0.000;1.000;0.0;0
1.382;0.114;241.910;5.600;0.000;2.000;18.0;8
2.86;0.178;240.650;11.800;0.000;1.000;18.0;1
2.424;0.202;238.320;10.200;0.000;0.000;0.0;6
2.364;0.086;240.730;9.800;0.000;1.000;0.0;6
0.256;0.000;241.870;1.200;0.000;0.000;0.0;0
0.3;0.120;247.160;1.200;0.000;0.000;0.0;0
1.806;0.120;242.070;7.400;0.000;1.000;18.0;8
1.84;0.106;239.780;7.800;0.000;2.000;17.0;8
1.366;0.000;238.670;5.600;1.000;0.000;17.0;8
1.462;0.226;240.650;6.000;0.000;1.000;18.0;8
2.294;0.048;239.040;9.600;0.000;0.000;0.0;6
1.364;0.000;241.070;5.600;1.000;0.000;18.0;8
